Location,CEH_Code,code,Sampling_date_yyyymmdd,Latitude,Longitude,Sample_type,Dry_matter_biomass_g,Soil_texture_upper,Soil_pH_upper,Depth_upper_soil_layer,LOI_upper_soil_layer,Upper_bulk_density,Cs137_bqm2_upper ,Cs134_bqm2_upper ,Cs137_bqkg_DM_upper ,Cs134_bqkg_DM_upper ,Ru106_bqkg_DM_upper ,Ru103_bqkg_DM_upper ,K40_bqkg_DM_upper ,Soil_texture_lower,Soil_pH_lower_soil,Depth_lower_soil,LOI_lower_soil,Lower_bulk_density,Cs137_bqkg_DM_lower,Cs134_bqkg_DM_lower,K40_bqkg_DM_lower,Cs137_bqkg_DM_veg,Cs134_bqkg_DM_veg,Ru106_bqkg_DM_veg,K40_bqkg_DM_veg,Cs137_bqkg_gut_contents,Cs134_bqkg_gut_contents,K40_bqkg_gut_contents,Fresh_weight_veg_g,Dry_weight_veg_g,Cs137_bqkg_fresh_flesh,Cs134_bqkg_fresh_flesh,K40_bqkg_fresh_flesh,Fresh_weight_flesh_g,Age_of_wildlife,Habitat,Sex,Cs137_bqkg_dry_gut_contents,Cs134_bqkg_dry_gut_contents,K40_bqkg_dry_gut_contents
United_Kingdom,N3075G1,N3075G,1/6/1986,53.12078604,-3.97392237,Grass,79,,,,,,,,,,,,,,,,,,,,,4989.2,,,,,,,,,,,,,,,,,,
United_Kingdom,N3076G1,N3076G,1/6/1986,53.18512694,-3.887075753,Grass,442,,,,,,,,,,,,,,,,,,,,,4039.2,,,,,,,,,,,,,,,,,,
United_Kingdom,N3077G1,N3077G,1/6/1986,53.01856671,-3.596532183,Grass,128,,,,,,,,,,,,,,,,,,,,,2859.3,,,,,,,,,,,,,,,,,,
United_Kingdom,N3078G1,N3078G,1/6/1986,53.16630604,-3.272908493,Grass,53,,,,,,,,,,,,,,,,,,,,,305.6,,,,,,,,,,,,,,,,,,
United_Kingdom,N0642G1,N0642G,1/6/1986,54.00574905,-2.886423407,Grass,131,,,,,,,,,,,,,,,,,,,,,714.9,,,,,,,,,,,,,,,,,,
United_Kingdom,N0656G1,N0656G,1/6/1986,54.20367288,-2.859994764,Grass,56,,,,,,,,,,,,,,,,,,,,,575.3,,,,,,,,,,,,,,,,,,
United_Kingdom,N0657G1,N0657G,1/6/1986,54.14202334,-2.659715592,Grass,147,,,,,,,,,,,,,,,,,,,,,492.9,,,,,,,,,,,,,,,,,,
United_Kingdom,N0659G1,N0659G,1/6/1986,54.14363825,-2.215806886,Grass,244,,,,,,,,,,,,,,,,,,,,,1391.1,,,,,,,,,,,,,,,,,,
United_Kingdom,N0672G1,N0672G,1/6/1986,54.2768244,-2.661867913,Grass,81,,,,,,,,,,,,,,,,,,,,,1306.9,,,,,,,,,,,,,,,,,,
United_Kingdom,N0691G1,N0691G,1/6/1986,54.54641724,-2.666226048,Grass,122,,,,,,,,,,,,,,,,,,,,,390.5,,,,,,,,,,,,,,,,,,
