Location,CEH_Code,code,Sampling_date_yyyymmdd,Latitude,Longitude,Latitude(radians),Longitude(radians),x,y,z,Sample_type,Classification,Dry_matter_biomass_g,Soil_texture_upper,Soil_pH_upper,Depth_upper_soil_layer,LOI_upper_soil_layer,Upper_bulk_density,Cs137_bqm2_upper ,Cs134_bqm2_upper ,Cs137_bqkg_DM_upper ,Cs134_bqkg_DM_upper ,Ru106_bqkg_DM_upper ,Ru103_bqkg_DM_upper ,K40_bqkg_DM_upper ,Soil_texture_lower,Soil_pH_lower_soil,Depth_lower_soil,LOI_lower_soil,Lower_bulk_density,Cs137_bqkg_DM_lower,Cs134_bqkg_DM_lower,K40_bqkg_DM_lower,Cs137_bqkg_DM_veg,Cs134_bqkg_DM_veg,Ru106_bqkg_DM_veg,K40_bqkg_DM_veg,Cs137_bqkg_gut_contents,Cs134_bqkg_gut_contents,K40_bqkg_gut_contents,Fresh_weight_veg_g,Dry_weight_veg_g,Cs137_bqkg_fresh_flesh,Cs134_bqkg_fresh_flesh,K40_bqkg_fresh_flesh,Fresh_weight_flesh_g,Age_of_wildlife,Habitat,Sex,Cs137_bqkg_dry_gut_contents,Cs134_bqkg_dry_gut_contents,K40_bqkg_dry_gut_contents
United_Kingdom,N075023,N07502,15/10/1986,55.08475986,-4.429903265,0.961410427,-0.077316398,3635.637347,-281.6558359,5224.217843,Blue hare,Wildlife,123,,,,,,,,,,,,,,,,,,,,,,,,,618.7,176.9,51.4,55.8,12.3,1281,383,118.6,798.5,A,O,J,2807.2,802.6,233.4
United_Kingdom,N116640,N11664,15/10/1986,58.44042832,-4.283447677,1.01997789,-0.074760265,3325.170463,-249.0547961,5428.706485,Fox,Wildlife,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2216.2,523,107.4,766.2,A,W,F,,,
United_Kingdom,N075644,N07564,15/10/1986,55.10267282,-2.816504964,0.961723067,-0.049157285,3640.494654,-179.1011189,5225.35764,Fox,Wildlife,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.3,9.1,112.4,709.3,A,W,M,,,
United_Kingdom,N075025,N07502,15/10/1986,55.13163019,-4.377841559,0.962228469,-0.076407749,3631.629398,-278.0258911,5227.199109,Blue hare,Wildlife,291,,,,,,,,,,,,,,,,,,,,,,,,,1011.8,279,43.3,147.3,29.1,2434,680.1,119.5,794,A,O,F,5121.6,1412.3,219.4
United_Kingdom,N104803,N10480,15/10/1986,57.33657076,-5.067030223,1.000711942,-0.088436361,3425.011118,-303.6876443,5363.460978,Red deer,Wildlife,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,308.3,99,72.6,153,A,O,F,,,
United_Kingdom,N067007,N06700,15/10/1986,54.33595878,-3.064231765,0.948341383,-0.053480933,3709.182413,-198.5598812,5176.116382,Red deer,Wildlife,312,,,,,,,,,,,,,,,,,,,,,,,,,49.2,12.3,40.5,150.1,31.2,,,,,Y,W,F,236.8,59.3,194.9
United_Kingdom,N100381,N10038,15/10/1986,57.03937913,-5.952782297,0.995524969,-0.103895651,3447.531227,-359.47787,5345.55377,Woodcock,Wildlife,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.8,7.1,126.6,143.7,A,O,F,,,
United_Kingdom,N102282,N10228,15/10/1986,57.21846226,-6.303462433,0.998650559,-0.110016174,3428.642673,-378.7353977,5356.361631,Woodcock,Wildlife,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.3,12.5,131.3,153.7,A,O,F,,,
United_Kingdom,N102183,N10218,15/10/1986,57.22901487,-6.150484814,0.998834737,-0.107346211,3428.660758,-369.4740066,5356.996861,Woodcock,Wildlife,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.5,11,113.6,158.2,A,O,M,,,
United_Kingdom,N074901,N07490,15/10/1986,55.07463361,-4.441822066,0.961233691,-0.07752442,3636.499157,-282.4836265,5223.573287,Red deer,Wildlife,232,,,,,,,,,,,,,,,,,,,,,,,,,379.1,130.2,0,142.7,23.2,958.3,389.9,93.9,795.2,A,W,F,2332.6,801.3,0
United_Kingdom,N074903,N07490,15/10/1986,55.07463361,-4.441822066,0.961233691,-0.07752442,3636.499157,-282.4836265,5223.573287,Red deer,Wildlife,216,,,,,,,,,,,,,,,,,,,,,,,,,519.5,214.3,37.8,141,21.6,997.1,407.4,94.8,684.4,Y,W,F,3391.5,1399.2,247.1
United_Kingdom,N112103,N11210,15/10/1986,57.93981209,-4.787153882,1.011240489,-0.083551597,3369.992357,-282.2252752,5399.364908,Red deer,Wildlife,224,,,,,,,,,,,,,,,,,,,,,,,,,278,107.9,56.4,152.8,22.4,363,137.8,95.9,802.8,A,O,F,1896.8,736.4,385.1
United_Kingdom,N098801,N09880,15/10/1986,57.02727635,-5.107419204,0.995313736,-0.089141281,3453.58426,-308.6749541,5344.821469,Red deer,Wildlife,251,,,,,,,,,,,,,,,,,,,,,,,,,75.6,21,47.7,146.6,25.1,218.7,58.4,108.4,1048,Y,W,F,441.5,122.8,278.6
United_Kingdom,N097101,N09710,15/10/1986,56.84890601,-4.976139907,0.992200586,-0.086850025,3470.842196,-302.2029469,5334.001202,Red deer,Wildlife,233,,,,,,,,,,,,,,,,,,,,,,,,,110.5,35.5,88.2,122.3,23.3,272.1,98,109.7,141.9,Y,W,F,580.1,186.4,463.1
United_Kingdom,N097103,N09710,15/10/1986,56.84890601,-4.976139907,0.992200586,-0.086850025,3470.842196,-302.2029469,5334.001202,Red deer,Wildlife,232,,,,,,,,,,,,,,,,,,,,,,,,,111.2,31.9,30.6,142.2,23.2,211.5,57.5,107.4,1096,A,W,F,681.5,195.5,187.5
United_Kingdom,N099101,N09910,15/10/1986,56.94813189,-4.418321103,0.993932404,-0.077114251,3464.404566,-267.68578,5340.02681,Red deer,Wildlife,209,,,,,,,,,,,,,,,,,,,,,,,,,647,282.4,23.1,122.6,20.9,1878,827.4,94,1082.3,A,O,F,3795.9,1656.8,135.4
United_Kingdom,N099103,N09910,15/10/1986,56.94813189,-4.418321103,0.993932404,-0.077114251,3464.404566,-267.68578,5340.02681,Red deer,Wildlife,240,,,,,,,,,,,,,,,,,,,,,,,,,766.5,319.7,0,119.8,24,2349.2,1024.4,91.6,675.3,Y,O,F,3824.8,1595.1,0
United_Kingdom,N102401,N10240,15/10/1986,57.25502923,-5.59929714,0.999288773,-0.097726171,3429.635387,-336.2362133,5358.562057,Red deer,Wildlife,241,,,,,,,,,,,,,,,,,,,,,,,,,50.8,4.4,31.6,140.7,24.1,88.5,7.1,103.1,760,A,W,F,296.9,25.4,184.4
United_Kingdom,N102403,N10240,15/10/1986,57.25502923,-5.59929714,0.999288773,-0.097726171,3429.635387,-336.2362133,5358.562057,Red deer,Wildlife,253,,,,,,,,,,,,,,,,,,,,,,,,,53.2,4.1,69.9,151.5,25.3,85.5,7,102.8,720.9,Y,W,F,318.3,24.3,418.5
United_Kingdom,N081401,N08140,15/10/1986,55.59141138,-5.485021781,0.970253164,-0.09573169,3583.708241,-344.126343,5256.258489,Red deer,Wildlife,240,,,,,,,,,,,,,,,,,,,,,,,,,70.7,22,64.5,142.2,24,,,,,A,W,F,418.8,130.3,382
United_Kingdom,N081403,N08140,15/10/1986,55.59141138,-5.485021781,0.970253164,-0.09573169,3583.708241,-344.126343,5256.258489,Red deer,Wildlife,242,,,,,,,,,,,,,,,,,,,,,,,,,73,23.4,50.4,148.1,24.2,,,,,Y,W,F,446.8,143.2,308.4
United_Kingdom,N085501,N08550,15/10/1986,55.93975754,-5.308024649,0.976332952,-0.092642507,3552.868257,-330.0915144,5278.049615,Red deer,Wildlife,238,,,,,,,,,,,,,,,,,,,,,,,,,104.7,39.7,42.3,118.5,23.8,218.7,74.3,101.1,766.9,A,W,F,521.3,197.6,210.4
United_Kingdom,N095301,N09530,15/10/1986,56.6272962,-5.281557911,0.988332765,-0.092180575,3489.699354,-322.596741,5320.485952,Red deer,Wildlife,248,,,,,,,,,,,,,,,,,,,,,,,,,42.8,8.4,42.3,147.8,24.8,51.2,9.5,111.4,1064.3,A,W,F,254.9,50,252.2
United_Kingdom,N095303,N09530,15/10/1986,56.6272962,-5.281557911,0.988332765,-0.092180575,3489.699354,-322.596741,5320.485952,Red deer,Wildlife,252,,,,,,,,,,,,,,,,,,,,,,,,,50.2,9.9,58.5,149.6,25.2,61.2,10.8,90.3,763.1,Y,W,F,298.1,58.8,347.4
United_Kingdom,N091901,N09190,15/10/1986,56.41514445,-5.315150138,0.984630019,-0.09276687,3509.101355,-326.4653743,5307.472943,Red deer,Wildlife,266,,,,,,,,,,,,,,,,,,,,,,,,,53.9,14.5,83,158.9,26.6,95,30,94.2,790.7,A,W,F,321.9,86.9,496.1
United_Kingdom,N091903,N09190,15/10/1986,56.41514445,-5.315150138,0.984630019,-0.09276687,3509.101355,-326.4653743,5307.472943,Red deer,Wildlife,245,,,,,,,,,,,,,,,,,,,,,,,,,49.5,14.7,44.1,149,24.5,121,36.6,102.6,744.4,Y,W,F,301.2,89.3,268.2
United_Kingdom,N102607,N10260,15/10/1986,57.20206751,-5.090636502,0.998364417,-0.088848368,3437.41745,-306.2151122,5355.374364,Red deer,Wildlife,244,,,,,,,,,,,,,,,,,,,,,,,,,111.6,34.3,0,143.9,24.4,223.2,56.9,95.1,770.4,A,W,F,658.1,202.3,0
United_Kingdom,N102609,N10260,15/10/1986,57.20206751,-5.090636502,0.998364417,-0.088848368,3437.41745,-306.2151122,5355.374364,Red deer,Wildlife,245,,,,,,,,,,,,,,,,,,,,,,,,,131.7,40.7,27.4,149.4,24.5,284.9,72.6,88.3,789.7,Y,W,F,803,248.1,167.1
